cuisine_id,cuisine_name
152,African
1,American
4,Arabian
3,Asian
193,BBQ
5,Bakery
227,Bar Food
132,Belgian
270,Beverages
159,Brazilian
133,British
168,Burger
30,Cafe
1039,Cafe Food
198,Cape Malay
158,Caribbean
25,Chinese
161,Coffee and Tea
144,Contemporary
35,Continental
153,Cuban
192,Deli
100,Desserts
268,Drinks Only
985,Dumplings
266,Durban
146,Egyptian
149,Ethiopian
38,European
40,Fast Food
271,Finger Food
298,Fish and Chips
45,French
501,Frozen Yogurt
274,Fusion
134,German
156,Greek
181,Grill
143,Healthy Food
233,Ice Cream
148,Indian
154,International
140,Iranian
135,Irish
55,Italian
60,Japanese
164,Juices
67,Korean
136,Latin American
66,Lebanese
69,Malaysian
70,Mediterranean
73,Mexican
137,Middle Eastern
294,Modern European
147,Moroccan
278,Oriental
139,Pakistani
183,Patisserie
82,Pizza
87,Portuguese
983,Pub Food
998,Salad
304,Sandwich
83,Seafood
267,South African
89,Spanish
141,Steak
90,Street Food
177,Sushi
179,Tapas
163,Tea
481,Tea House
981,Teppanyaki
150,Tex-Mex
95,Thai
142,Turkish
308,Vegetarian
99,Vietnamese
